model,framework,training_id,model_full,direction,batch_size,round,converter,original_size,converted_size,original_infererence_time,converted_infererence_time,conversion_time,saving_converted_time,overral_time,avg_abs_error,median_abs_error,min_abs_error,max_abs_error,avg_rel_error,median_rel_error,min_rel_error,max_rel_error
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,0,onnxruntime,89756056,44688713,3.2789418697357178,0.020740270614624023,12.797219514846802,,16.436522006988525,6.074305e-07,1.6065314e-08,7.048584e-12,3.0398369e-06,1.0216601e-05,1.1327256e-05,3.9927527e-06,1.7059898e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,0,onnx2keras,89756056,44817200,3.2789418697357178,0.40287232398986816,0.4901115894317627,0.16130781173706055,5.384790420532227,6.0192457e-07,9.036739e-09,1.1368684e-13,2.9802322e-06,8.17459e-06,8.2434235e-06,9.108477e-08,1.5444784e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,0,onnx2keras,89756056,44817200,3.2789418697357178,0.40287232398986816,0.4901115894317627,0.16130781173706055,5.384790420532227,2.6396663e-08,7.1013346e-09,0.0,1.0430813e-07,2.2659788e-06,1.7450152e-06,0.0,5.7383404e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,1,onnxruntime,89756056,44688719,0.06712889671325684,0.011293888092041016,11.196082353591919,,11.430970907211304,3.5474264e-07,3.3527613e-08,1.1254997e-11,1.4603138e-06,1.058038e-05,1.184256e-05,9.679661e-07,1.717009e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,1,onnx2keras,89756056,44817208,0.06712889671325684,0.33678627014160156,0.7046737670898438,0.18339300155639648,2.2577641010284424,6.57776e-07,2.4971087e-08,1.0686563e-11,3.33786e-06,1.1790907e-05,1.2620416e-05,3.5127468e-06,2.0236115e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,1,onnx2keras,89756056,44817208,0.06712889671325684,0.33678627014160156,0.7046737670898438,0.18339300155639648,2.2577641010284424,5.628725e-07,9.138603e-09,5.684342e-13,2.8014183e-06,2.888278e-06,2.3656305e-06,1.7817634e-07,7.2889497e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,2,onnxruntime,89756056,44688719,0.06475090980529785,0.011885881423950195,9.80335783958435,,10.048897743225098,3.1284824e-07,2.3981556e-08,4.774847e-12,1.4305115e-06,4.947474e-06,3.3529923e-06,8.539192e-07,1.2616388e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,2,onnx2keras,89756056,44817208,0.06475090980529785,0.33444786071777344,0.5034677982330322,0.18025970458984375,2.051630735397339,2.978126e-07,2.0372681e-09,7.3896445e-12,1.4305115e-06,4.5763913e-06,3.5979951e-06,2.7744113e-07,1.2578137e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,2,onnx2keras,89756056,44817208,0.06475090980529785,0.33444786071777344,0.5034677982330322,0.18025970458984375,2.051630735397339,5.2604115e-08,2.6484486e-09,0.0,1.8253922e-07,4.683214e-06,4.363976e-06,0.0,9.632719e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,3,onnxruntime,89756056,44688723,0.0643773078918457,0.010952234268188477,10.003828525543213,,10.241211891174316,2.5134193e-07,3.6030542e-08,2.2509994e-11,1.2516975e-06,1.1748247e-05,1.0482442e-05,1.0814068e-06,2.2567016e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,3,onnx2keras,89756056,44817208,0.0643773078918457,0.3357360363006592,0.5134909152984619,0.18157625198364258,2.0236458778381348,6.5058686e-07,2.5160261e-08,1.6939339e-11,3.2782555e-06,9.221645e-06,1.0144533e-05,3.2342052e-07,1.6785913e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,3,onnx2keras,89756056,44817208,0.0643773078918457,0.3357360363006592,0.5134909152984619,0.18157625198364258,2.0236458778381348,4.2940897e-07,1.3620593e-08,5.570655e-12,2.026558e-06,5.2585806e-06,4.2990205e-06,8.158384e-07,1.0996298e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,4,onnxruntime,89756056,44688726,0.06772899627685547,0.011011362075805664,10.049274206161499,,10.29005742073059,1.0290975e-06,2.240995e-08,3.8653525e-12,5.185604e-06,5.313698e-06,4.593853e-06,1.833955e-06,1.2528947e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,4,onnx2keras,89756056,44817208,0.06772899627685547,0.34179115295410156,0.4941685199737549,0.1789689064025879,2.027815341949463,1.0621013e-06,2.514571e-08,1.8189894e-12,5.364418e-06,8.014802e-06,7.120666e-06,1.833952e-07,1.6421822e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,4,onnx2keras,89756056,44817208,0.06772899627685547,0.34179115295410156,0.4941685199737549,0.1789689064025879,2.027815341949463,4.567312e-08,4.089088e-09,1.0231815e-11,1.7881393e-07,3.6803642e-06,3.4768846e-06,7.830591e-08,1.199729e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,5,onnxruntime,89756056,44688726,0.055948495864868164,0.010717153549194336,10.5650053024292,,10.799098253250122,1.9931652e-07,2.325396e-08,2.444267e-12,9.536743e-07,9.1820575e-06,1.0600323e-05,7.066327e-08,1.8054236e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,5,onnx2keras,89756056,44817208,0.055948495864868164,0.3342869281768799,0.4901461601257324,0.18011045455932617,1.9701776504516602,3.026724e-07,1.9033905e-08,1.6484591e-12,1.4901161e-06,9.0299745e-06,8.599274e-06,1.7312058e-06,1.8424416e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,5,onnx2keras,89756056,44817208,0.055948495864868164,0.3342869281768799,0.4901461601257324,0.18011045455932617,1.9701776504516602,1.2292547e-07,5.180482e-09,7.9580786e-13,5.364418e-07,3.3000779e-06,2.0128514e-06,1.7201658e-07,9.352846e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,6,onnxruntime,89756056,44688726,0.06565594673156738,0.010988235473632812,10.021205425262451,,10.408340692520142,1.418738e-07,8.032657e-09,0.0,7.4505806e-07,3.2257117e-06,2.893365e-06,0.0,6.7265373e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,6,onnx2keras,89756056,44817208,0.06565594673156738,0.3411366939544678,0.4968388080596924,0.1807863712310791,2.0902395248413086,5.4504386e-07,5.0931703e-09,1.364242e-12,2.8014183e-06,5.5093615e-06,5.259521e-06,3.5931407e-07,1.2261097e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,6,onnx2keras,89756056,44817208,0.06565594673156738,0.3411366939544678,0.4968388080596924,0.1807863712310791,2.0902395248413086,6.518881e-07,6.693881e-09,4.4337867e-12,3.2782555e-06,5.258753e-06,5.72265e-06,5.808357e-07,7.99355e-06
