model,framework,training_id,model_full,direction,batch_size,round,converter,original_size,converted_size,original_infererence_time,converted_infererence_time,conversion_time,saving_converted_time,overral_time,avg_abs_error,median_abs_error,min_abs_error,max_abs_error,avg_rel_error,median_rel_error,min_rel_error,max_rel_error
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,0,onnxruntime,89756056,44688713,3.4439773559570312,0.011223793029785156,12.765119552612305,,16.548887729644775,2.5430996e-08,4.656613e-10,5.2295945e-12,1.1920929e-07,3.2318342e-06,2.377357e-06,1.2234383e-07,9.427632e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,0,onnx2keras,89756056,44817200,3.4439773559570312,0.4030942916870117,0.502126932144165,0.16248774528503418,5.538871765136719,1.3432759e-08,2.003162e-09,0.0,5.1455572e-08,5.085572e-06,3.826609e-06,0.0,1.3402383e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,0,onnx2keras,89756056,44817200,3.4439773559570312,0.4030942916870117,0.502126932144165,0.16248774528503418,5.538871765136719,2.9912552e-08,1.2631062e-08,4.5474735e-12,1.1920929e-07,5.0373346e-06,4.7020194e-06,1.2234385e-07,1.32204505e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,1,onnxruntime,89756056,44688719,0.06577587127685547,0.010982751846313477,11.229673862457275,,11.467525005340576,2.835202e-08,1.7142156e-08,2.5011104e-12,1.1920929e-07,9.264219e-06,7.370163e-06,1.2196193e-07,2.7576532e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,1,onnx2keras,89756056,44817208,0.06577587127685547,0.33431553840637207,0.7025952339172363,0.18165302276611328,2.2810332775115967,5.3434177e-09,3.3196557e-11,0.0,2.2002496e-08,7.637131e-06,7.630088e-06,0.0,2.3934437e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,1,onnx2keras,89756056,44817208,0.06577587127685547,0.33431553840637207,0.7025952339172363,0.18165302276611328,2.2810332775115967,2.4884253e-08,6.0827006e-09,1.796252e-11,1.1920929e-07,6.841344e-06,6.297516e-06,1.2196192e-07,1.3183044e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,2,onnxruntime,89756056,44688719,0.06509566307067871,0.012447357177734375,10.26049280166626,,10.526002168655396,1.7637865e-08,6.805294e-10,0.0,9.5460564e-08,6.480277e-06,5.9512795e-06,0.0,1.48337e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,2,onnx2keras,89756056,44817208,0.06509566307067871,0.3569941520690918,0.5138366222381592,0.18610000610351562,2.044778347015381,2.082479e-08,2.0954758e-09,1.3187673e-11,1.1920929e-07,5.8734577e-06,5.6465306e-06,1.2179295e-07,1.214434e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,2,onnx2keras,89756056,44817208,0.06509566307067871,0.3569941520690918,0.5138366222381592,0.18610000610351562,2.044778347015381,2.096425e-08,6.1118044e-10,4.5474735e-13,1.1920929e-07,2.7640287e-06,8.455021e-07,1.15108975e-07,1.2807798e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,3,onnxruntime,89756056,44688723,0.060671329498291016,0.010679960250854492,9.979731321334839,,10.21203899383545,1.9191543e-08,4.48199e-09,6.5938366e-12,1.1920929e-07,5.3847602e-06,3.5818307e-06,1.2213549e-07,1.7093058e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,3,onnx2keras,89756056,44817208,0.060671329498291016,0.33726954460144043,0.4908027648925781,0.20141196250915527,2.0049796104431152,7.974177e-09,4.4451554e-11,0.0,3.8649887e-08,5.145374e-06,4.744904e-06,0.0,1.3384991e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,3,onnx2keras,89756056,44817208,0.060671329498291016,0.33726954460144043,0.4908027648925781,0.20141196250915527,2.0049796104431152,2.2789914e-08,5.355105e-09,1.8189894e-12,1.1920929e-07,3.976849e-06,4.5422084e-06,1.221355e-07,9.449273e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,4,onnxruntime,89756056,44688726,0.06510090827941895,0.011806249618530273,9.90925931930542,,10.176668405532837,2.5127202e-08,1.0360964e-08,5.456968e-12,1.1920929e-07,4.073455e-06,4.260287e-06,1.2232398e-07,7.0079846e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,4,onnx2keras,89756056,44817208,0.06510090827941895,0.3593316078186035,0.5031375885009766,0.18674492835998535,2.0676047801971436,2.3222446e-08,1.1466909e-08,9.094947e-12,8.987263e-08,7.707991e-06,6.081659e-06,6.116198e-08,1.7079643e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,4,onnx2keras,89756056,44817208,0.06510090827941895,0.3593316078186035,0.5031375885009766,0.18674492835998535,2.0676047801971436,3.330242e-08,3.6670826e-09,6.8212103e-12,1.7881393e-07,7.2110975e-06,7.352958e-06,1.8104136e-07,1.610829e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,5,onnxruntime,89756056,44688726,0.06962156295776367,0.011175155639648438,10.073374509811401,,10.30994200706482,1.913213e-08,8.789357e-09,7.275958e-12,5.9604645e-08,3.5621808e-06,2.8361505e-06,6.151823e-08,9.010261e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,5,onnx2keras,89756056,44817208,0.06962156295776367,0.3338038921356201,0.4919886589050293,0.18143177032470703,1.983621597290039,2.4199585e-08,4.307367e-09,2.2737368e-13,1.4156103e-07,3.4930467e-06,1.9550203e-06,6.151823e-08,1.2679639e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,5,onnx2keras,89756056,44817208,0.06962156295776367,0.3338038921356201,0.4919886589050293,0.18143177032470703,1.983621597290039,1.9652793e-08,3.8653525e-09,0.0,1.1641532e-07,5.6329136e-06,6.1739797e-06,0.0,1.0427335e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,6,onnxruntime,89756056,44688726,0.06605339050292969,0.01091766357421875,9.634531021118164,,10.014134645462036,4.715639e-08,1.0302756e-08,2.3192115e-11,2.0116568e-07,8.056464e-06,7.3611945e-06,1.8437518e-07,1.5534932e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,6,onnx2keras,89756056,44817208,0.06605339050292969,0.3364830017089844,0.4898262023925781,0.17927122116088867,2.068070888519287,3.8851113e-09,2.0038442e-09,0.0,1.21071935e-08,2.8228528e-06,1.9733293e-06,0.0,9.475953e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,6,onnx2keras,89756056,44817208,0.06605339050292969,0.3364830017089844,0.4898262023925781,0.17927122116088867,2.068070888519287,5.0239965e-08,1.1059456e-08,1.9099389e-11,2.1327287e-07,8.588111e-06,9.81606e-06,1.8437522e-07,1.6469632e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,7,onnxruntime,89756056,44688726,0.0664210319519043,0.011009693145751953,9.82551121711731,,10.065741539001465,4.1614886e-08,1.0593794e-08,1.8189894e-12,1.6018748e-07,5.4422403e-06,4.2346473e-06,1.2383828e-07,1.6162343e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,7,onnx2keras,89756056,44817208,0.0664210319519043,0.34037303924560547,0.5055773258209229,0.18143200874328613,2.007136821746826,2.8874137e-08,7.916242e-09,2.3646862e-11,1.1920929e-07,6.0956713e-06,5.527486e-06,1.2383828e-07,1.5053779e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,7,onnx2keras,89756056,44817208,0.0664210319519043,0.34037303924560547,0.5055773258209229,0.18143200874328613,2.007136821746826,1.7434468e-08,2.5079316e-09,0.0,8.8475645e-08,4.7310273e-06,2.646948e-06,0.0,1.5273543e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,8,onnxruntime,89756056,44688726,0.06575894355773926,0.010976076126098633,10.068979501724243,,10.480725765228271,8.949405e-09,1.1112888e-09,0.0,4.1909516e-08,4.801005e-06,2.8676236e-06,0.0,1.8079412e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,8,onnx2keras,89756056,44817208,0.06575894355773926,0.3346214294433594,0.7800941467285156,0.19649243354797363,2.4212093353271484,2.355082e-08,6.868504e-09,2.2737368e-13,1.1920929e-07,5.663731e-06,5.5869714e-06,1.2145888e-07,1.2991129e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,8,onnx2keras,89756056,44817208,0.06575894355773926,0.3346214294433594,0.7800941467285156,0.19649243354797363,2.4212093353271484,2.6558997e-08,4.7148205e-09,5.002221e-12,1.1920929e-07,5.0876006e-06,4.7225612e-06,1.2145888e-07,1.0288109e-05
