model,framework,training_id,model_full,direction,batch_size,round,absolute_error,relative_error
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,3.259629e-09,5.1128427e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,1.4551915e-09,4.596733e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,2.73576e-09,6.453721e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,1.6763806e-07,7.216851e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,1.7285347e-06,2.085759e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,4.307367e-09,5.9629165e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,2.3469329e-07,4.659041e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,1.3969839e-09,2.7675976e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,1.1622906e-06,1.2249446e-05
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,0,9.604264e-10,5.472613e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,4.656613e-10,9.212403e-07
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,0.0,0.0
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,0.0,0.0
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,7.450581e-09,5.134707e-07
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,0.0,0.0
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,2.6193447e-09,4.8350257e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,1.4156103e-07,1.6950955e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,1.3969839e-09,3.839043e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,2.719462e-07,4.5776287e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,1,1.3096724e-10,1.0111956e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,2.2700988e-09,3.8015123e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,1.0768417e-09,3.7978073e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,1.4551915e-10,4.158544e-07
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,2.7939677e-08,1.8815174e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,8.34465e-07,9.901834e-07
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,2.386514e-09,3.904902e-06
vgg,keras,1,tf_vgg-cifar10_2021-10-29_1,keras-onnx,1,2,1.6018748e-07,4.0812997e-06
